Run ID,Symbol Set,Portfolio Balance,Total Return %,Annualized Return %,Max Drawdown,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Profit Factor,Win Rate %,Avg Win ($),Avg Loss ($),EMA Period,ATR Stop Multiplier,Risk Bull,MACD Fast Period,MACD Slow Period,MACD Signal Period,ATR Period,Allocation Defense
143,QQQ-TQQQ,-14829.41,-2.483,,-1.0,,-0.06,,19,0.0,0.368,99.61,-418500.55,200,2.5,0.06,12,26,9,14,0.5
144,QQQ-TQQQ,-14943.21,-2.494,,-1.0,,-0.06,,19,0.0,0.368,140.89,-424748.14,200,2.5,0.06,12,26,9,14,0.7
145,QQQ-TQQQ,-13421.80,-2.342,,-1.0,,-0.07,,17,0.0,0.412,86.47,-340709.41,250,2.0,0.04,12,26,9,14,0.6
146,QQQ-TQQQ,-13379.31,-2.338,,-1.0,,-0.07,,17,0.0,0.412,71.62,-338764.23,250,2.0,0.04,12,26,9,14,0.5
147,QQQ-TQQQ,-13466.65,-2.347,,-1.0,,-0.07,,17,0.0,0.412,101.25,-342637.02,250,2.0,0.04,12,26,9,14,0.7
148,QQQ-TQQQ,-14002.70,-2.400,,-1.0,,-0.06,,17,0.0,0.412,88.61,-438007.36,250,2.0,0.05,12,26,9,14,0.6
149,QQQ-TQQQ,-13956.21,-2.396,,-1.0,,-0.06,,17,0.0,0.412,73.54,-435540.55,250,2.0,0.05,12,26,9,14,0.5
150,QQQ-TQQQ,-14046.09,-2.405,,-1.0,,-0.06,,17,0.0,0.412,103.83,-440513.59,250,2.0,0.05,12,26,9,14,0.7
151,QQQ-TQQQ,-14310.17,-2.431,,-1.0,,-0.06,,16,0.0,0.438,89.68,-491216.12,250,2.0,0.06,12,26,9,14,0.6
152,QQQ-TQQQ,-14264.53,-2.426,,-1.0,,-0.06,,16,0.0,0.438,74.29,-488186.48,250,2.0,0.06,12,26,9,14,0.5
153,QQQ-TQQQ,-14352.09,-2.435,,-1.0,,-0.06,,16,0.0,0.438,105.1,-494234.13,250,2.0,0.06,12,26,9,14,0.7
154,QQQ-TQQQ,14709.88,0.471,0.138,-0.144,1.27,0.6,0.96,56,0.0,0.304,135.08,-186534.17,250,3.0,0.04,12,26,9,14,0.6
155,QQQ-TQQQ,14746.02,0.475,0.139,-0.14,1.32,0.61,0.99,56,0.0,0.304,112.92,-186660.83,250,3.0,0.04,12,26,9,14,0.5
