# Backtest Dashboard Export
# strategy_name: Hierarchical_Adaptive_v3_5b
# start_date: 2010-01-01
# end_date: 2026-01-20
# initial_capital: 10000.00
# total_return: 8102.29
# annualized_return: 31.61
# sharpe_ratio: 1.14
# max_drawdown: -29.26
# alpha: 6.60
# baseline_ticker: QQQ
Date,Portfolio_Value,Baseline_Value,BuyHold_Value,Regime,Trend,Vol
2024-02-26,588431.93,94043.52,94043.52,3,Sideways,Low
2024-02-27,590144.68,94269.71,94269.71,3,Sideways,Low
2024-02-28,585679.47,93767.77,93767.77,3,Sideways,Low
2024-02-29,592557.25,94571.31,94571.31,3,Sideways,Low
2024-03-01,605261.68,95995.26,95995.26,3,Sideways,Low
2024-03-04,603561.97,95652.74,95652.74,3,Sideways,Low
2024-03-05,586716.84,93935.80,93935.80,3,Sideways,Low
2024-03-06,591864.60,94526.07,94526.07,3,Sideways,Low
2024-03-07,604439.28,95960.79,95960.79,3,Sideways,Low
2024-03-08,591967.98,94575.61,94575.61,3,Sideways,Low
2024-03-11,590225.51,94224.47,94224.47,3,Sideways,Low
2024-03-12,599669.77,95575.18,95575.18,4,Sideways,High
2024-03-13,603182.58,94840.59,94840.59,4,Sideways,High
2024-03-14,614724.67,94601.46,94601.46,4,Sideways,High
2024-03-15,615154.81,93476.95,93476.95,4,Sideways,High
2024-03-18,617663.96,94243.86,94243.86,4,Sideways,High
2024-03-19,612143.83,94478.67,94478.67,4,Sideways,High
2024-03-20,612430.59,95598.88,95598.88,4,Sideways,High
2024-03-21,611283.55,96051.27,96051.27,4,Sideways,High
2024-03-22,603361.12,96161.14,96161.14,3,Sideways,Low
2024-03-25,601609.90,95812.15,95812.15,3,Sideways,Low
2024-03-26,597703.54,95501.94,95501.94,3,Sideways,Low
2024-03-27,600375.89,95827.23,95827.23,3,Sideways,Low
2024-03-28,598738.33,95650.58,95650.58,3,Sideways,Low
2024-04-01,599754.47,95853.08,95853.08,3,Sideways,Low
2024-04-02,593138.15,95025.85,95025.85,3,Sideways,Low
2024-04-03,594978.74,95239.12,95239.12,3,Sideways,Low
2024-04-04,582162.82,93782.85,93782.85,3,Sideways,Low
2024-04-05,591637.39,94887.98,94887.98,3,Sideways,Low
2024-04-08,591777.92,94915.98,94915.98,3,Sideways,Low
2024-04-09,594811.11,95267.13,95267.13,3,Sideways,Low
2024-04-10,587576.11,94435.59,94435.59,3,Sideways,Low
2024-04-11,600478.13,95943.56,95943.56,3,Sideways,Low
2024-04-12,587063.55,94414.05,94414.05,3,Sideways,Low
2024-04-15,579269.54,92860.84,92860.84,3,Sideways,Low
2024-04-16,573650.34,92869.45,92869.45,3,Sideways,Low
